Flight_Distance,Dep_Arr_Time_Convenient,Departure_Delay_Minutes,Arrival_Delay_Minutes,Overall_Satisfaction
1389,1,0,0,satisfied
1284,2,7,0,neutral or dissatisfied
882,3,0,0,satisfied
2139,5,1,0,satisfied
1972,0,0,0,neutral or dissatisfied
2011,3,0,1,satisfied
1585,5,8,3,satisfied
605,4,0,0,neutral or dissatisfied
1501,4,4,0,neutral or dissatisfied
282,0,0,0,satisfied
373,1,26,28,neutral or dissatisfied
252,5,0,0,neutral or dissatisfied
683,2,0,0,neutral or dissatisfied
459,4,0,0,satisfied
2178,5,31,26,satisfied
3034,3,70,70,satisfied
2865,5,10,3,neutral or dissatisfied
3626,1,0,8,satisfied
628,4,77,67,neutral or dissatisfied
862,4,0,0,neutral or dissatisfied
846,2,27,27,neutral or dissatisfied
1028,5,16,0,satisfied
237,4,0,0,neutral or dissatisfied
853,4,0,0,neutral or dissatisfied
802,5,165,167,satisfied
867,4,0,0,satisfied
417,3,0,4,neutral or dissatisfied
2870,2,0,0,neutral or dissatisfied
3430,3,0,0,satisfied
2971,3,0,0,satisfied
2358,2,0,0,satisfied
157,1,0,1,neutral or dissatisfied
262,3,87,104,neutral or dissatisfied
2329,5,0,0,satisfied
944,4,0,0,neutral or dissatisfied
2415,3,0,0,satisfied
2290,5,0,0,satisfied
444,2,0,0,neutral or dissatisfied
67,1,4,7,neutral or dissatisfied
402,4,2,0,neutral or dissatisfied
510,4,0,0,satisfied
221,3,0,0,neutral or dissatisfied
2399,3,0,0,satisfied
772,1,0,0,satisfied
370,2,0,0,neutral or dissatisfied
406,3,13,13,satisfied
1754,4,0,0,neutral or dissatisfied
620,1,0,9,neutral or dissatisfied
597,3,0,0,neutral or dissatisfied
194,1,32,32,satisfied
1034,5,1,9,satisfied
2597,3,2,5,neutral or dissatisfied
1306,4,0,0,neutral or dissatisfied
3002,4,0,0,satisfied
2586,5,40,15,neutral or dissatisfied
332,4,97,123,neutral or dissatisfied
2777,1,0,0,neutral or dissatisfied
432,4,0,0,neutral or dissatisfied
590,3,0,0,neutral or dissatisfied
169,0,0,0,neutral or dissatisfied
934,4,23,21,neutral or dissatisfied
262,1,0,0,satisfied
481,4,0,0,neutral or dissatisfied
253,3,41,28,neutral or dissatisfied
2611,4,0,0,neutral or dissatisfied
944,5,4,0,satisfied
1337,5,0,0,neutral or dissatisfied
683,4,4,0,satisfied
926,5,0,0,neutral or dissatisfied
1911,4,25,14,neutral or dissatisfied
374,3,0,2,neutral or dissatisfied
549,5,0,0,satisfied
1436,3,14,28,satisfied
925,5,9,0,neutral or dissatisfied
631,4,0,10,neutral or dissatisfied
1856,5,91,83,neutral or dissatisfied
539,2,0,0,neutral or dissatisfied
683,4,5,8,neutral or dissatisfied
1962,4,48,47,satisfied
2475,4,0,0,neutral or dissatisfied
179,3,0,18,satisfied
327,5,47,47,neutral or dissatisfied
1846,2,0,0,satisfied
641,5,0,0,neutral or dissatisfied
2525,0,14,22,satisfied
231,5,0,0,satisfied
2968,3,0,0,neutral or dissatisfied
1322,3,0,0,neutral or dissatisfied
589,4,0,0,neutral or dissatisfied
452,2,14,9,neutral or dissatisfied
628,4,0,0,neutral or dissatisfied
2075,3,26,13,satisfied
74,1,0,0,neutral or dissatisfied
2276,3,35,14,satisfied
3345,2,22,0,satisfied
295,1,0,0,neutral or dissatisfied
1020,2,9,2,neutral or dissatisfied
731,3,0,0,neutral or dissatisfied
1037,4,0,9,neutral or dissatisfied
583,3,0,0,satisfied
214,3,0,0,neutral or dissatisfied
342,3,0,0,neutral or dissatisfied
1310,1,0,0,satisfied
491,4,0,0,satisfied
156,4,0,0,satisfied
3594,4,7,12,satisfied
635,5,21,6,neutral or dissatisfied
808,5,2,0,neutral or dissatisfied
1956,4,0,3,satisfied
468,0,1,0,neutral or dissatisfied
78,4,18,11,neutral or dissatisfied
337,5,2,0,satisfied
247,0,0,0,satisfied
373,1,0,0,neutral or dissatisfied
920,2,0,0,satisfied
1162,1,32,31,satisfied
312,4,11,15,neutral or dissatisfied
562,3,0,3,satisfied
1773,3,7,15,neutral or dissatisfied
347,1,0,0,neutral or dissatisfied
89,2,0,0,neutral or dissatisfied
872,3,72,52,satisfied
1127,5,0,0,satisfied
957,4,0,0,neutral or dissatisfied
748,5,2,0,neutral or dissatisfied
1089,2,0,0,satisfied
222,2,0,0,neutral or dissatisfied
894,2,3,2,neutral or dissatisfied
935,0,7,0,satisfied
1941,4,0,2,neutral or dissatisfied
3237,1,11,13,satisfied
621,2,23,26,satisfied
3876,0,0,0,satisfied
867,2,0,14,satisfied
383,4,0,0,neutral or dissatisfied
809,4,9,2,satisfied
895,1,44,28,neutral or dissatisfied
501,4,110,91,neutral or dissatisfied
735,5,0,0,satisfied
337,1,0,0,satisfied
1721,4,0,0,satisfied
3982,2,0,13,satisfied
1460,5,0,3,neutral or dissatisfied
359,1,0,0,neutral or dissatisfied
2454,2,0,0,neutral or dissatisfied
859,1,0,8,neutral or dissatisfied
3344,4,26,22,satisfied
272,1,232,235,neutral or dissatisfied
272,1,0,0,neutral or dissatisfied
583,5,1,17,neutral or dissatisfied
2271,1,197,183,satisfied
272,3,0,0,satisfied
1086,5,0,5,neutral or dissatisfied
296,5,0,0,neutral or dissatisfied
599,4,0,0,neutral or dissatisfied
948,2,0,0,neutral or dissatisfied
2248,3,0,0,satisfied
541,2,0,0,neutral or dissatisfied
634,4,0,0,neutral or dissatisfied
2431,4,0,1,satisfied
715,2,0,0,neutral or dissatisfied
3342,3,0,0,satisfied
731,4,0,0,neutral or dissatisfied
1598,3,0,0,neutral or dissatisfied
179,2,0,8,neutral or dissatisfied
524,4,0,0,neutral or dissatisfied
761,1,0,0,neutral or dissatisfied
728,5,0,0,neutral or dissatisfied
226,1,0,0,neutral or dissatisfied
395,4,7,16,neutral or dissatisfied
1055,2,189,171,neutral or dissatisfied
1535,5,37,53,satisfied
650,5,0,12,satisfied
432,1,0,0,neutral or dissatisfied
2457,5,2,33,neutral or dissatisfied
304,3,1,3,satisfied
1545,1,178,198,neutral or dissatisfied
669,2,0,0,neutral or dissatisfied
173,1,0,0,satisfied
1262,5,0,0,neutral or dissatisfied
1334,5,0,0,satisfied
594,1,8,3,satisfied
175,3,0,0,neutral or dissatisfied
240,4,0,0,neutral or dissatisfied
247,2,8,0,satisfied
265,0,0,0,neutral or dissatisfied
3823,4,108,102,satisfied
759,5,0,19,neutral or dissatisfied
3296,5,0,0,satisfied
1541,5,0,0,neutral or dissatisfied
370,2,15,12,neutral or dissatisfied
223,3,0,4,neutral or dissatisfied
907,5,0,6,neutral or dissatisfied
787,4,121,111,neutral or dissatisfied
1400,3,0,0,neutral or dissatisfied
1379,4,2,0,satisfied
587,4,34,35,neutral or dissatisfied
1389,1,7,4,neutral or dissatisfied
513,0,0,0,neutral or dissatisfied
1587,5,0,0,satisfied
281,2,18,19,neutral or dissatisfied
2106,1,15,0,satisfied
589,1,10,4,neutral or dissatisfied
1476,1,0,0,neutral or dissatisfied
3204,5,0,0,satisfied
563,5,22,11,satisfied
788,5,3,0,satisfied
78,5,0,3,neutral or dissatisfied
323,5,0,3,satisfied
1306,2,9,0,neutral or dissatisfied
719,0,10,21,satisfied
1235,4,0,0,neutral or dissatisfied
990,5,0,0,neutral or dissatisfied
1400,2,62,36,neutral or dissatisfied
1197,4,0,0,neutral or dissatisfied
184,1,0,0,satisfied
3137,3,71,65,satisfied
945,2,0,0,neutral or dissatisfied
1235,5,3,0,satisfied
1679,3,0,3,satisfied
990,4,7,0,neutral or dissatisfied
516,2,0,0,satisfied
115,3,0,0,satisfied
669,4,24,18,satisfied
1426,2,6,4,satisfied
2427,1,0,0,satisfied
1172,3,0,6,neutral or dissatisfied
1670,2,65,37,neutral or dissatisfied
2248,1,0,0,satisfied
332,4,0,0,satisfied
277,2,0,0,neutral or dissatisfied
641,4,18,18,neutral or dissatisfied
503,5,3,0,neutral or dissatisfied
187,5,14,18,neutral or dissatisfied
175,5,62,71,neutral or dissatisfied
175,0,0,0,neutral or dissatisfied
493,3,0,0,neutral or dissatisfied
818,1,17,8,neutral or dissatisfied
554,0,0,7,satisfied
1919,3,42,37,satisfied
287,5,0,0,satisfied
349,4,108,105,neutral or dissatisfied
2165,4,5,0,neutral or dissatisfied
1036,4,0,0,neutral or dissatisfied
907,2,0,0,neutral or dissatisfied
550,2,0,0,neutral or dissatisfied
806,5,0,0,satisfied
1107,5,0,0,neutral or dissatisfied
3322,5,54,61,satisfied
626,2,0,0,satisfied
1744,2,28,34,satisfied
2541,4,0,0,satisfied
4983,1,0,0,satisfied
236,4,49,49,satisfied
3419,1,0,0,satisfied
429,4,4,0,neutral or dissatisfied
1739,0,3,12,neutral or dissatisfied
482,2,0,3,neutral or dissatisfied
646,5,0,0,neutral or dissatisfied
480,2,50,47,neutral or dissatisfied
1243,5,29,22,neutral or dissatisfied
1751,1,0,0,satisfied
733,4,0,0,neutral or dissatisfied
387,4,0,0,neutral or dissatisfied
2085,5,7,0,satisfied
2370,3,2,0,neutral or dissatisfied
3345,1,0,0,satisfied
1554,2,0,0,satisfied
457,4,29,32,neutral or dissatisfied
3836,4,1,0,neutral or dissatisfied
872,5,0,4,neutral or dissatisfied
247,4,4,0,neutral or dissatisfied
1735,4,73,44,satisfied
859,4,0,0,satisfied
3822,2,0,0,neutral or dissatisfied
190,0,0,0,neutral or dissatisfied
515,1,47,44,neutral or dissatisfied
240,2,0,2,neutral or dissatisfied
666,3,45,44,neutral or dissatisfied
2949,2,0,0,satisfied
2175,4,0,0,satisfied
2212,4,0,0,neutral or dissatisfied
781,3,0,11,neutral or dissatisfied
641,4,0,0,neutral or dissatisfied
780,3,115,232,neutral or dissatisfied
239,5,3,0,satisfied
423,4,0,0,satisfied
451,4,0,0,satisfied
2441,3,0,0,satisfied
2342,4,16,6,neutral or dissatisfied
666,2,1,0,neutral or dissatisfied
859,1,2,0,neutral or dissatisfied
838,1,0,0,satisfied
354,2,31,29,neutral or dissatisfied
3477,2,10,43,satisfied
1587,5,0,6,satisfied
720,4,0,10,satisfied
509,4,0,0,satisfied
1990,1,0,11,satisfied
74,2,55,52,neutral or dissatisfied
432,2,32,27,satisfied
248,5,0,0,neutral or dissatisfied
1290,2,0,0,neutral or dissatisfied
250,2,0,0,neutral or dissatisfied
359,5,5,0,neutral or dissatisfied
918,5,0,0,neutral or dissatisfied
337,1,13,2,neutral or dissatisfied
1009,4,41,37,satisfied
2541,4,17,0,neutral or dissatisfied
110,3,0,0,neutral or dissatisfied
1121,3,0,0,satisfied
399,5,0,0,neutral or dissatisfied
1165,5,8,6,satisfied
3295,5,0,0,satisfied
1814,4,0,0,neutral or dissatisfied
591,0,4,0,neutral or dissatisfied
480,4,12,6,neutral or dissatisfied
577,2,114,90,neutral or dissatisfied
468,5,12,4,neutral or dissatisfied
270,4,0,0,neutral or dissatisfied
1379,3,10,2,neutral or dissatisfied
3833,5,0,25,satisfied
925,3,0,27,neutral or dissatisfied
1297,3,11,13,neutral or dissatisfied
220,3,34,21,neutral or dissatisfied
667,4,0,10,neutral or dissatisfied
1794,2,19,16,satisfied
780,2,265,265,neutral or dissatisfied
569,1,0,0,satisfied
2201,2,10,1,satisfied
2579,5,0,0,neutral or dissatisfied
931,5,40,83,neutral or dissatisfied
1744,4,87,74,neutral or dissatisfied
1760,1,43,24,neutral or dissatisfied
762,0,0,4,neutral or dissatisfied
651,1,0,0,satisfied
3220,3,0,0,neutral or dissatisfied
164,4,0,0,satisfied
2449,1,13,1,neutral or dissatisfied
2272,4,26,26,satisfied
226,4,6,2,neutral or dissatisfied
2046,4,0,33,satisfied
683,2,0,0,neutral or dissatisfied
922,1,0,0,satisfied
1721,3,0,0,satisfied
1389,2,0,0,neutral or dissatisfied
846,1,0,0,neutral or dissatisfied
3363,1,0,2,satisfied
366,0,12,1,neutral or dissatisfied
197,4,0,0,neutral or dissatisfied
471,1,0,0,satisfied
507,3,0,0,neutral or dissatisfied
258,4,82,84,neutral or dissatisfied
1975,1,0,0,satisfied
667,3,39,35,neutral or dissatisfied
853,5,0,18,neutral or dissatisfied
1542,4,0,0,satisfied
113,3,0,22,neutral or dissatisfied
1875,4,0,0,neutral or dissatisfied
612,4,2,2,neutral or dissatisfied
3970,3,8,11,neutral or dissatisfied
895,1,9,0,neutral or dissatisfied
3430,1,0,0,satisfied
2553,4,0,0,neutral or dissatisfied
551,3,0,0,neutral or dissatisfied
978,4,0,10,satisfied
397,4,175,169,neutral or dissatisfied
861,4,21,12,neutral or dissatisfied
3574,1,0,0,neutral or dissatisfied
399,5,0,0,neutral or dissatisfied
515,4,15,0,neutral or dissatisfied
1139,5,0,5,neutral or dissatisfied
261,0,0,0,neutral or dissatisfied
253,3,108,117,neutral or dissatisfied
1028,5,49,34,neutral or dissatisfied
1643,5,23,15,satisfied
328,4,40,38,neutral or dissatisfied
293,0,57,31,satisfied
173,4,0,0,neutral or dissatisfied
507,4,0,0,neutral or dissatisfied
834,4,0,0,neutral or dissatisfied
1522,3,0,0,neutral or dissatisfied
1024,1,22,43,neutral or dissatisfied
936,1,0,0,satisfied
214,4,0,3,satisfied
2797,2,0,0,satisfied
1609,3,0,0,satisfied
372,2,0,0,neutral or dissatisfied
488,1,0,0,neutral or dissatisfied
482,3,0,0,satisfied
2486,3,0,0,satisfied
468,1,2,18,satisfied
144,5,0,0,neutral or dissatisfied
3194,2,0,8,neutral or dissatisfied
326,1,55,44,neutral or dissatisfied
719,1,15,11,satisfied
2014,1,0,0,neutral or dissatisfied
2078,5,17,8,neutral or dissatisfied
1916,2,0,0,satisfied
1541,4,55,50,satisfied
908,4,3,0,satisfied
1546,5,0,0,neutral or dissatisfied
647,5,0,0,satisfied
2614,5,0,0,satisfied
82,2,7,0,neutral or dissatisfied
414,5,0,0,neutral or dissatisfied
3472,1,0,0,satisfied
780,5,0,0,neutral or dissatisfied
551,5,0,8,neutral or dissatisfied
889,4,3,1,satisfied
956,4,0,0,neutral or dissatisfied
413,2,7,8,satisfied
236,1,0,19,neutral or dissatisfied
354,0,0,0,neutral or dissatisfied
2704,1,2,0,neutral or dissatisfied
2454,2,1,0,satisfied
2296,3,6,0,satisfied
3322,4,7,0,satisfied
1587,5,0,0,neutral or dissatisfied
834,5,0,0,satisfied
2096,2,5,0,satisfied
3437,5,0,0,satisfied
1013,1,10,0,satisfied
2454,2,2,0,neutral or dissatisfied
3996,2,0,0,satisfied
315,4,7,15,neutral or dissatisfied
134,4,0,2,neutral or dissatisfied
390,5,0,0,neutral or dissatisfied
782,4,0,0,neutral or dissatisfied
453,5,0,0,satisfied
861,1,19,33,satisfied
371,3,40,39,satisfied
1747,3,0,0,satisfied
605,4,12,16,neutral or dissatisfied
107,1,10,7,satisfied
1011,4,0,0,satisfied
624,3,4,12,neutral or dissatisfied
391,4,3,6,neutral or dissatisfied
1061,5,10,0,neutral or dissatisfied
409,4,40,33,neutral or dissatisfied
1521,2,0,0,satisfied
2422,4,0,0,satisfied
370,2,0,0,neutral or dissatisfied
397,1,0,0,satisfied
447,1,0,0,satisfied
1534,3,52,48,neutral or dissatisfied
223,4,1,12,neutral or dissatisfied
1129,5,58,47,neutral or dissatisfied
719,1,0,0,satisfied
1009,3,0,0,neutral or dissatisfied
3928,5,0,0,satisfied
2189,1,0,0,satisfied
140,2,0,0,satisfied
595,2,58,48,satisfied
1797,1,0,2,satisfied
545,3,0,0,neutral or dissatisfied
101,2,0,0,neutral or dissatisfied
989,2,0,34,neutral or dissatisfied
1838,2,14,0,satisfied
1588,1,0,0,neutral or dissatisfied
462,1,32,20,satisfied
158,5,0,0,neutral or dissatisfied
1844,4,0,0,neutral or dissatisfied
1526,5,23,6,satisfied
387,2,0,1,satisfied
3952,4,17,8,neutral or dissatisfied
2775,5,0,0,satisfied
650,5,0,5,neutral or dissatisfied
3994,4,0,1,satisfied
1891,1,36,22,satisfied
3762,3,0,2,satisfied
2422,4,0,0,satisfied
323,1,0,4,satisfied
712,2,11,0,satisfied
304,4,5,0,neutral or dissatisfied
603,4,79,97,neutral or dissatisfied
3287,2,0,12,neutral or dissatisfied
192,4,15,12,neutral or dissatisfied
402,4,4,0,satisfied
352,2,0,0,satisfied
822,5,4,9,neutral or dissatisfied
191,1,0,0,neutral or dissatisfied
101,1,0,0,satisfied
580,3,127,122,satisfied
102,4,0,0,neutral or dissatisfied
404,1,0,0,neutral or dissatisfied
421,1,39,52,satisfied
1514,3,0,12,satisfied
689,4,0,0,satisfied
3713,2,58,49,neutral or dissatisfied
362,1,37,30,neutral or dissatisfied
1319,2,0,0,neutral or dissatisfied
737,1,7,17,neutral or dissatisfied
1836,3,15,0,satisfied
758,5,45,33,neutral or dissatisfied
169,0,0,0,satisfied
431,5,0,0,neutral or dissatisfied
760,5,74,64,neutral or dissatisfied
2378,2,24,25,neutral or dissatisfied
250,3,2,0,neutral or dissatisfied
711,4,0,0,neutral or dissatisfied
3532,1,0,20,neutral or dissatisfied
175,5,12,5,neutral or dissatisfied
1183,1,3,28,neutral or dissatisfied
678,2,0,10,neutral or dissatisfied
529,5,134,123,satisfied
2586,4,0,0,neutral or dissatisfied
356,1,0,0,neutral or dissatisfied
475,5,41,72,neutral or dissatisfied
1013,4,0,0,satisfied
1189,5,16,8,neutral or dissatisfied
2483,4,21,1,satisfied
227,2,5,0,neutral or dissatisfied
646,1,77,76,satisfied
2686,5,0,0,satisfied
369,4,0,0,satisfied
2249,3,0,6,satisfied
991,2,0,0,neutral or dissatisfied
3491,3,6,0,satisfied
569,0,0,0,neutral or dissatisfied
145,5,0,0,satisfied
762,3,54,24,neutral or dissatisfied
189,4,0,0,satisfied
1379,0,28,28,satisfied
1849,4,0,0,neutral or dissatisfied
305,1,0,0,neutral or dissatisfied
184,2,0,0,neutral or dissatisfied
1182,5,0,2,neutral or dissatisfied
402,5,76,95,satisfied
491,5,15,10,neutral or dissatisfied
1235,4,0,0,neutral or dissatisfied
216,3,0,0,neutral or dissatisfied
1739,3,0,0,satisfied
852,4,0,4,satisfied
2565,3,6,6,neutral or dissatisfied
1744,2,0,0,neutral or dissatisfied
2811,2,0,0,satisfied
2973,5,5,18,satisfied
680,5,14,9,neutral or dissatisfied
581,2,14,17,satisfied
762,4,0,0,neutral or dissatisfied
1188,1,0,0,neutral or dissatisfied
1096,5,0,5,satisfied
409,2,0,0,neutral or dissatisfied
1886,4,0,0,satisfied
448,5,6,0,satisfied
406,1,15,0,neutral or dissatisfied
248,4,0,1,neutral or dissatisfied
1609,5,4,0,neutral or dissatisfied
707,4,0,0,neutral or dissatisfied
689,2,138,128,neutral or dissatisfied
468,3,0,5,neutral or dissatisfied
147,1,6,4,satisfied
3560,1,6,0,satisfied
2449,5,0,0,satisfied
1363,4,0,3,satisfied
213,5,21,31,satisfied
1911,4,26,17,neutral or dissatisfied
368,2,0,0,satisfied
1723,4,0,0,neutral or dissatisfied
3028,1,0,0,satisfied
1998,2,0,0,satisfied
1635,2,13,20,satisfied
912,4,0,0,satisfied
2599,4,0,0,satisfied
2503,1,5,10,satisfied
854,5,10,16,neutral or dissatisfied
489,5,0,0,neutral or dissatisfied
151,5,0,7,neutral or dissatisfied
135,1,0,0,satisfied
395,5,0,1,neutral or dissatisfied
929,1,27,18,neutral or dissatisfied
558,3,0,0,satisfied
728,2,0,0,satisfied
602,1,0,0,neutral or dissatisfied
2297,5,0,0,satisfied
951,4,3,3,neutral or dissatisfied
1521,5,0,0,neutral or dissatisfied
371,0,5,0,satisfied
775,5,6,9,neutral or dissatisfied
399,4,76,82,neutral or dissatisfied
642,2,5,0,neutral or dissatisfied
236,5,179,189,neutral or dissatisfied
731,3,10,0,satisfied
192,2,0,0,neutral or dissatisfied
944,4,0,0,neutral or dissatisfied
971,5,0,0,satisfied
859,1,74,64,neutral or dissatisfied
441,3,0,0,neutral or dissatisfied
1892,2,0,0,neutral or dissatisfied
373,0,0,8,neutral or dissatisfied
1773,5,5,0,satisfied
351,2,0,0,satisfied
3920,4,5,8,satisfied
325,5,0,0,satisfied
283,4,17,14,neutral or dissatisfied
936,4,0,0,neutral or dissatisfied
3444,5,0,0,neutral or dissatisfied
284,3,0,0,neutral or dissatisfied
764,4,0,60,neutral or dissatisfied
158,5,447,438,neutral or dissatisfied
602,2,79,68,satisfied
737,1,60,69,neutral or dissatisfied
301,0,50,44,neutral or dissatisfied
108,0,0,41,neutral or dissatisfied
509,1,0,11,neutral or dissatisfied
985,1,0,1,neutral or dissatisfied
2251,4,0,3,satisfied
679,4,0,0,neutral or dissatisfied
546,2,0,0,neutral or dissatisfied
872,0,0,0,satisfied
3741,1,0,0,satisfied
296,2,5,10,satisfied
338,3,73,55,neutral or dissatisfied
2279,2,0,0,satisfied
1041,4,0,1,neutral or dissatisfied
101,1,0,0,satisfied
679,2,0,0,satisfied
432,3,0,0,neutral or dissatisfied
2205,2,50,51,satisfied
427,4,4,18,satisfied
436,4,5,13,neutral or dissatisfied
351,5,0,0,neutral or dissatisfied
2222,2,13,21,neutral or dissatisfied
787,3,0,0,satisfied
1506,5,0,0,satisfied
813,2,17,7,neutral or dissatisfied
84,5,0,0,neutral or dissatisfied
993,4,0,0,neutral or dissatisfied
453,5,9,5,neutral or dissatisfied
3610,5,0,3,neutral or dissatisfied
1869,3,0,0,satisfied
190,5,0,0,neutral or dissatisfied
1452,5,60,54,satisfied
2004,1,0,0,satisfied
3800,3,1,3,satisfied
606,1,0,0,neutral or dissatisfied
160,4,45,69,neutral or dissatisfied
214,1,13,11,satisfied
214,0,0,0,neutral or dissatisfied
300,4,52,34,neutral or dissatisfied
754,4,2,4,satisfied
2948,1,31,36,neutral or dissatisfied
3468,1,0,0,satisfied
3303,3,97,116,satisfied
315,2,0,0,neutral or dissatisfied
2690,5,49,34,satisfied
1189,4,13,9,neutral or dissatisfied
2854,1,27,5,satisfied
862,4,3,45,neutral or dissatisfied
1179,5,0,0,satisfied
304,0,0,0,satisfied
1056,1,0,0,neutral or dissatisfied
1670,2,0,14,satisfied
247,4,26,21,satisfied
370,1,1,8,neutral or dissatisfied
1036,1,15,6,neutral or dissatisfied
3436,5,111,99,neutral or dissatisfied
277,4,3,0,satisfied
1482,3,35,35,satisfied
577,5,0,0,satisfied
173,4,0,4,satisfied
223,5,0,6,neutral or dissatisfied
796,2,0,0,neutral or dissatisfied
31,5,8,15,neutral or dissatisfied
781,5,5,0,neutral or dissatisfied
1091,4,3,0,satisfied
2125,2,0,0,satisfied
758,3,0,0,satisfied
2355,1,12,12,satisfied
711,5,0,0,neutral or dissatisfied
1154,4,24,34,satisfied
594,5,0,0,satisfied
214,1,0,0,neutral or dissatisfied
2603,4,2,0,neutral or dissatisfied
460,5,0,0,neutral or dissatisfied
2139,5,0,0,neutral or dissatisfied
326,1,32,22,satisfied
337,5,0,0,neutral or dissatisfied
436,5,0,0,neutral or dissatisfied
1744,3,4,0,neutral or dissatisfied
372,2,0,0,neutral or dissatisfied
1127,1,0,11,neutral or dissatisfied
3649,5,0,0,satisfied
476,4,0,0,satisfied
983,2,0,0,neutral or dissatisfied
201,4,3,7,neutral or dissatisfied
2248,1,0,0,satisfied
1892,5,0,0,satisfied
2358,1,107,105,satisfied
296,5,0,0,neutral or dissatisfied
230,0,0,0,satisfied
125,2,108,110,satisfied
3921,2,234,278,satisfied
307,4,3,0,neutral or dissatisfied
3547,3,5,3,satisfied
1979,1,0,0,satisfied
723,4,0,0,neutral or dissatisfied
502,4,12,14,neutral or dissatisfied
2290,5,13,0,satisfied
1028,5,1,0,satisfied
356,3,0,0,neutral or dissatisfied
898,5,0,0,satisfied
862,5,88,79,neutral or dissatisfied
328,2,14,17,neutral or dissatisfied
2771,2,9,0,neutral or dissatisfied
230,4,0,6,neutral or dissatisfied
612,3,1,0,neutral or dissatisfied
1690,1,6,0,neutral or dissatisfied
2248,5,0,0,neutral or dissatisfied
543,3,80,71,neutral or dissatisfied
1794,2,0,0,satisfied
2145,1,10,1,satisfied
383,4,0,0,neutral or dissatisfied
859,2,1,0,neutral or dissatisfied
364,0,0,2,neutral or dissatisfied
965,3,0,0,neutral or dissatisfied
758,2,0,0,satisfied
3193,4,2,0,satisfied
2835,2,2,0,satisfied
308,5,3,0,neutral or dissatisfied
3463,1,0,0,satisfied
821,0,0,3,satisfied
2290,5,20,19,neutral or dissatisfied
867,1,16,3,neutral or dissatisfied
812,3,0,0,neutral or dissatisfied
250,2,100,95,neutral or dissatisfied
174,4,0,0,satisfied
1035,2,2,0,satisfied
3493,2,0,0,satisfied
536,4,2,3,satisfied
3182,2,0,0,satisfied
1237,5,0,0,satisfied
1848,5,68,63,satisfied
909,2,48,29,neutral or dissatisfied
750,4,201,199,neutral or dissatisfied
1372,1,81,93,satisfied
270,0,11,0,neutral or dissatisfied
521,4,0,12,satisfied
449,4,0,0,satisfied
405,2,4,0,neutral or dissatisfied
583,2,0,0,satisfied
1635,1,0,0,neutral or dissatisfied
341,1,9,26,satisfied
3203,1,0,0,neutral or dissatisfied
954,5,0,5,neutral or dissatisfied
192,5,0,0,neutral or dissatisfied
735,3,110,120,satisfied
3269,5,53,47,satisfied
666,1,51,35,neutral or dissatisfied
3812,2,12,3,satisfied
946,4,0,0,neutral or dissatisfied
145,1,0,0,satisfied
562,4,29,22,satisfied
1166,3,17,6,neutral or dissatisfied
715,3,0,0,satisfied
550,4,0,0,neutral or dissatisfied
731,2,0,0,neutral or dissatisfied
201,2,0,0,satisfied
551,0,0,0,neutral or dissatisfied
708,4,13,0,neutral or dissatisfied
3860,1,0,0,satisfied
283,0,51,38,satisfied
447,5,11,0,satisfied
277,4,360,388,neutral or dissatisfied
630,1,1,0,satisfied
945,3,0,6,neutral or dissatisfied
315,4,0,0,satisfied
1259,1,0,0,satisfied
462,2,0,0,satisfied
325,1,74,72,neutral or dissatisfied
1590,2,1,5,neutral or dissatisfied
160,3,123,129,neutral or dissatisfied
762,2,0,0,neutral or dissatisfied
134,1,0,0,neutral or dissatisfied
101,4,0,0,neutral or dissatisfied
361,2,33,13,neutral or dissatisfied
3850,1,0,0,satisfied
209,3,0,0,satisfied
78,5,0,0,neutral or dissatisfied
833,2,0,0,satisfied
2153,1,71,71,neutral or dissatisfied
1823,4,0,0,satisfied
2106,1,4,0,satisfied
281,5,34,23,neutral or dissatisfied
135,3,0,0,neutral or dissatisfied
1010,5,0,13,neutral or dissatisfied
787,1,4,13,neutral or dissatisfied
1589,2,5,0,satisfied
237,4,49,36,neutral or dissatisfied
1028,2,0,0,neutral or dissatisfied
667,4,0,19,satisfied
762,3,3,8,neutral or dissatisfied
460,2,0,0,neutral or dissatisfied
1045,2,14,2,neutral or dissatisfied
937,3,3,0,neutral or dissatisfied
2133,3,12,2,neutral or dissatisfied
541,3,4,0,satisfied
413,5,10,6,neutral or dissatisfied
351,0,0,0,neutral or dissatisfied
1012,5,26,45,neutral or dissatisfied
669,3,7,12,neutral or dissatisfied
3078,4,62,60,neutral or dissatisfied
2329,2,39,6,neutral or dissatisfied
247,4,0,0,neutral or dissatisfied
539,0,0,0,neutral or dissatisfied
1013,4,0,0,neutral or dissatisfied
2413,5,0,20,neutral or dissatisfied
873,1,0,0,neutral or dissatisfied
743,5,17,13,neutral or dissatisfied
1535,5,7,0,satisfied
581,2,9,0,neutral or dissatisfied
369,2,0,0,neutral or dissatisfied
460,2,46,40,neutral or dissatisfied
500,2,0,0,satisfied
265,3,0,9,neutral or dissatisfied
483,3,0,0,neutral or dissatisfied
1554,4,0,0,neutral or dissatisfied
1444,0,18,3,satisfied
391,5,14,5,neutral or dissatisfied
3817,5,0,3,satisfied
859,2,0,0,neutral or dissatisfied
1535,1,5,0,neutral or dissatisfied
1062,4,0,7,satisfied
1464,4,0,0,neutral or dissatisfied
3507,4,0,0,satisfied
